date,open,high,low,close,volume,marketcap,average
20171115,0.610165,0.785823,0.610165,0.785823,87041500,1695970000,0.70
20171114,0.586061,0.618325,0.538290,0.610332,33932000,1628970000,0.58
20171113,0.594010,0.652501,0.573934,0.591634,37718000,1651070000,0.61
20171112,0.626080,0.636028,0.508265,0.593716,44517800,1740210000,0.57
20171111,0.501986,0.621817,0.497991,0.621817,42375200,1395280000,0.56
20171110,0.529091,0.562467,0.459485,0.504601,44756700,1470620000,0.51
20171109,0.475964,0.593595,0.467588,0.535435,69996800,1322960000,0.53
20171108,0.384301,0.488848,0.381925,0.475925,44738600,1068180000,0.44
20171107,0.371509,0.397608,0.362284,0.383096,15415700,1032620000,0.38
20171106,0.351011,0.378777,0.338867,0.373939,13258400,975647000,0.36
20171105,0.367915,0.370910,0.335194,0.350084,12950500,1022630000,0.35
20171104,0.391327,0.391546,0.365428,0.368643,8568260,1087700000,0.38
20171103,0.362970,0.396015,0.358817,0.393126,11427900,1008890000,0.38
20171102,0.370966,0.380213,0.320862,0.366056,20942000,1031110000,0.35
20171101,0.390863,0.390863,0.356690,0.363920,11944600,1086410000,0.37
20171031,0.407912,0.408340,0.390312,0.390915,7839910,1133800000,0.40
20171030,0.403103,0.415571,0.385603,0.409046,9124580,1120440000,0.40
20171029,0.395947,0.413541,0.367674,0.403720,15972200,1100550000,0.39
20171028,0.424433,0.428173,0.391215,0.395483,9075000,1179720000,0.41
20171027,0.416744,0.439441,0.395594,0.423355,8963410,1158350000,0.42
20171026,0.443666,0.455887,0.411928,0.417107,10747100,1233180000,0.43
20171025,0.455356,0.473467,0.430005,0.443448,14379600,1265680000,0.45
20171024,0.389144,0.502278,0.377494,0.453682,47178400,1081640000,0.44
20171023,0.391371,0.399234,0.364940,0.386487,12380800,1087830000,0.38
20171022,0.390836,0.411999,0.381438,0.392542,9322400,1086340000,0.40
20171021,0.403854,0.406504,0.324360,0.393045,20120500,1122530000,0.37
20171020,0.432863,0.435639,0.391630,0.401913,17771900,1203160000,0.41
20171019,0.457196,0.465953,0.415102,0.433388,12250600,1270790000,0.44
20171018,0.474621,0.482291,0.427958,0.454575,12433700,1319220000,0.46
20171017,0.452052,0.504408,0.434911,0.468463,12590200,1256490000,0.47
20171016,0.439699,0.459618,0.423750,0.450655,8128940,1222160000,0.44
20171015,0.458649,0.460506,0.414704,0.438429,8256490,1274830000,0.44
20171014,0.441808,0.482837,0.431503,0.457837,11493700,1228020000,0.46
20171013,0.412854,0.445985,0.403912,0.441595,14821100,1147540000,0.42
20171012,0.481734,0.486223,0.391482,0.412417,16792100,1338990000,0.44
20171011,0.477029,0.488967,0.464757,0.481464,6996130,1325920000,0.48
20171010,0.466453,0.488517,0.452723,0.477576,7401800,1296520000,0.47
20171009,0.500356,0.501909,0.439523,0.469438,18097100,1390760000,0.47
20171008,0.534649,0.538526,0.492876,0.500032,9637830,1486070000,0.52
20171007,0.504488,0.548719,0.490615,0.538529,9848850,1402240000,0.52
20171006,0.543216,0.562671,0.493282,0.503448,12478500,1509890000,0.53
20171005,0.547394,0.567734,0.520702,0.540915,7592760,1521500000,0.54
20171004,0.560853,0.570545,0.520099,0.546982,9152780,1558910000,0.55
20171003,0.577182,0.582044,0.516038,0.561712,13709400,1604290000,0.55
20171002,0.618180,0.622090,0.565055,0.575398,13928300,1718250000,0.59
20171001,0.621750,0.628776,0.592742,0.610183,8576220,1728170000,0.61
20170930,0.584318,0.646884,0.576150,0.620822,21825700,1624130000,0.61
20170929,0.595143,0.609587,0.543016,0.584418,16689800,1654220000,0.58
20170928,0.549661,0.614313,0.528270,0.595896,23776300,1527800000,0.57
20170927,0.514224,0.554709,0.507709,0.551005,12188400,1429300000,0.53
20170926,0.556670,0.560043,0.507645,0.515205,14671500,1547280000,0.53
20170925,0.524449,0.566395,0.524449,0.556207,10506400,1457720000,0.55
20170924,0.540538,0.541688,0.506966,0.521379,9199830,1502440000,0.52
20170923,0.507613,0.551145,0.494903,0.541796,8486720,1410930000,0.52
20170922,0.499185,0.517458,0.476075,0.506010,8860800,1387500000,0.50
20170921,0.567586,0.569993,0.467953,0.500724,18553300,1577620000,0.52
20170920,0.559849,0.585680,0.543853,0.566627,8802430,1556120000,0.56
20170919,0.608275,0.614231,0.555303,0.565168,12972000,1690720000,0.58
20170918,0.496796,0.612485,0.496796,0.606233,28609000,1380860000,0.55
20170917,0.484758,0.505875,0.462614,0.497046,7574760,1347400000,0.48
20170916,0.479385,0.510361,0.453232,0.487239,13452000,1332470000,0.48
20170915,0.445700,0.509332,0.372595,0.480510,41983100,1238840000,0.44
20170914,0.565841,0.573630,0.445019,0.445019,25946400,1572770000,0.51
20170913,0.592512,0.595366,0.479349,0.556820,31807500,1646910000,0.54
20170912,0.561696,0.647193,0.557297,0.591949,43345900,1561250000,0.60
20170911,0.498380,0.558273,0.481498,0.558273,23660500,1385260000,0.52
20170910,0.561304,0.567870,0.462834,0.495607,32733100,1560160000,0.52
20170909,0.525939,0.583964,0.524823,0.560809,15317400,1461860000,0.55
20170908,0.648249,0.660258,0.490346,0.540475,48691600,1801830000,0.58
20170907,0.739668,0.739668,0.622366,0.645758,31377000,2055930000,0.68
20170906,0.613529,0.749172,0.601484,0.741663,33093300,1705320000,0.68
20170905,0.544132,0.646085,0.468949,0.613085,45817500,1512430000,0.56
20170904,0.744257,0.744257,0.406795,0.566472,74601300,2068680000,0.58
20170903,0.698855,0.775863,0.672850,0.743968,29504600,1942490000,0.72
20170902,0.796560,0.802464,0.658006,0.695547,39333900,2214060000,0.73
20170901,0.842867,0.879100,0.768119,0.807778,28047000,2342770000,0.82
20170831,0.869553,0.902074,0.828224,0.842424,15194300,2416950000,0.87
20170830,0.812777,0.878203,0.792339,0.869647,17428100,2259140000,0.84
20170829,0.876892,0.877578,0.746405,0.811961,28538500,2437350000,0.81
20170828,0.922464,0.927742,0.784779,0.875197,24288200,2564020000,0.86
20170827,0.962058,0.979088,0.887365,0.920351,17816000,2674070000,0.93
20170826,0.915926,0.970068,0.877886,0.962213,16623100,2545840000,0.92
20170825,0.894733,0.934651,0.837866,0.919635,18226300,2486940000,0.89
20170824,0.854043,0.895101,0.813880,0.895101,17132900,2373840000,0.85
20170823,0.842517,0.940389,0.834667,0.850371,27418300,2341800000,0.89
20170822,0.901778,0.901778,0.786259,0.843775,26333800,2506520000,0.84
20170821,0.907423,0.939166,0.843577,0.906269,32558600,2522210000,0.89
20170820,0.971222,1.02,0.939619,0.942205,29447600,2699540000,0.98
20170819,0.871580,0.985748,0.778133,0.978521,39975500,2422580000,0.88
20170818,1.01,1.03,0.774400,0.870147,58053400,2819080000,0.90
20170817,1.04,1.10,0.998241,1.02,58209300,2904020000,1.05
20170816,0.914727,1.05,0.878567,1.05,52081500,2542510000,0.96
20170815,0.977320,0.995791,0.767236,0.917949,84698300,2716490000,0.88
20170814,0.811738,0.976404,0.793682,0.976404,54630900,2256250000,0.89
20170813,0.722169,0.829530,0.715382,0.807713,41198400,2007290000,0.77
20170812,0.655191,0.727960,0.625521,0.721535,20358000,1821120000,0.68
20170811,0.565525,0.710585,0.557827,0.654872,43618800,1571890000,0.63
20170810,0.535805,0.588071,0.513250,0.566456,16602500,1489290000,0.55
20170809,0.547121,0.555125,0.512566,0.543328,13294400,1520740000,0.53
20170808,0.473874,0.550880,0.458992,0.547637,21988500,1317150000,0.50
20170807,0.430804,0.491028,0.418088,0.474577,14717700,1197430000,0.45
20170806,0.407690,0.440193,0.396851,0.431142,6276510,1133190000,0.42
20170805,0.393176,0.427798,0.364083,0.407980,9091140,1092850000,0.40
20170804,0.332239,0.420252,0.332239,0.391286,20179000,923468000,0.38
20170803,0.286578,0.336844,0.284765,0.332352,8239810,796552000,0.31
20170802,0.290135,0.293039,0.272032,0.286116,3439800,806440000,0.28
20170801,0.256665,0.296267,0.249623,0.290220,5169910,713408000,0.27
20170731,0.255064,0.259810,0.245768,0.254732,2563820,708959000,0.25
20170730,0.277339,0.279401,0.252831,0.254785,3165840,770872000,0.27
20170729,0.266567,0.277226,0.245848,0.275190,2788270,740931000,0.26
20170728,0.274876,0.278459,0.262736,0.265118,2884740,764026000,0.27
20170727,0.276850,0.285551,0.275467,0.275467,3343540,769512000,0.28
20170726,0.250571,0.283478,0.241237,0.274598,4626790,696469000,0.26
20170725,0.266827,0.269072,0.237998,0.250453,2917500,741654000,0.25
20170724,0.265136,0.273468,0.242731,0.266447,4502060,736952000,0.26
20170723,0.273693,0.280241,0.258485,0.269072,3065860,760738000,0.27
20170722,0.263390,0.278936,0.254406,0.273382,4107430,732099000,0.27
20170721,0.294760,0.305506,0.257626,0.264134,6344870,819295000,0.28
20170720,0.233503,0.298253,0.232192,0.292460,10332500,649028000,0.27
20170719,0.268162,0.284031,0.230686,0.232212,6339730,745365000,0.26
20170718,0.264569,0.309577,0.248754,0.267340,11433600,735378000,0.28
20170717,0.180717,0.278088,0.179114,0.263105,15254300,502309000,0.23
20170716,0.157961,0.185445,0.155173,0.180978,4178170,439057000,0.17
20170715,0.175237,0.176099,0.147933,0.158688,3913220,487076000,0.16
20170714,0.212999,0.214112,0.161877,0.175350,3347860,592038000,0.19
20170713,0.229099,0.238625,0.194249,0.214589,4129150,636787000,0.22
20170712,0.191125,0.237362,0.183955,0.228758,4646480,531237000,0.21
20170711,0.214742,0.231574,0.185681,0.187596,6946200,596881000,0.21
20170710,0.304476,0.304476,0.190539,0.217061,8233640,846301000,0.25
20170709,0.297377,0.312770,0.285475,0.302889,2474500,826569000,0.30
20170708,0.286164,0.320908,0.281393,0.305515,3273950,795402000,0.30
20170707,0.355803,0.355994,0.271859,0.284565,8804780,988966000,0.31
20170706,0.380253,0.382865,0.317295,0.353880,8218370,1056920000,0.35
20170705,0.396273,0.400841,0.371809,0.380130,3061100,1101450000,0.39
20170704,0.374900,0.410698,0.373865,0.396390,3933710,1042050000,0.39
20170703,0.379055,0.384955,0.356024,0.376139,3873180,1053600000,0.37
20170702,0.391880,0.396890,0.366798,0.382249,2971770,1089240000,0.38
20170701,0.402295,0.414192,0.381489,0.389630,2334640,1118190000,0.40
20170630,0.417167,0.453008,0.398195,0.401591,5044270,1159530000,0.43
20170629,0.375767,0.459387,0.361568,0.417798,5324020,1044460000,0.41
20170628,0.399874,0.399874,0.357338,0.379136,4704400,1111460000,0.38
20170627,0.411989,0.420035,0.353549,0.392269,4411090,1145140000,0.39
20170626,0.470192,0.473662,0.351156,0.402438,9101080,1306910000,0.41
20170625,0.514185,0.525564,0.454951,0.470941,5012890,1429190000,0.49
20170624,0.482769,0.635612,0.482769,0.512910,19215500,1341870000,0.56
20170623,0.417769,0.480910,0.408405,0.480910,3768560,1161200000,0.44
20170622,0.413371,0.427283,0.407261,0.417742,2343320,1148980000,0.42
20170621,0.419439,0.437340,0.405037,0.413547,3999810,1165840000,0.42
20170620,0.414299,0.422032,0.398649,0.418494,3755470,1151560000,0.41
20170619,0.405456,0.420990,0.388231,0.412183,3543640,1126980000,0.40
20170618,0.420597,0.426069,0.393790,0.405862,2514450,1169060000,0.41
20170617,0.426762,0.444205,0.414139,0.419906,3100660,1186200000,0.43
20170616,0.353285,0.448249,0.309852,0.410757,6920690,981966000,0.38
20170615,0.528284,0.543165,0.300365,0.363661,10300400,1468380000,0.42
20170614,0.592347,0.606196,0.495745,0.528916,14194900,1646450000,0.55
20170613,0.638503,0.652862,0.533910,0.590255,25425600,1774740000,0.59
